Price,Open,High,Low,Close,Volume,Daily Return
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,
Date,,,,,,
1950-01-03,16.66,16.66,16.66,16.66,1260000,
1950-01-04,16.85,16.85,16.85,16.85,1890000,0.011404561824730042
1950-01-05,16.93,16.93,16.93,16.93,2550000,0.004747774480712064
1950-01-06,16.98,16.98,16.98,16.98,2010000,0.002953337271116352
1950-01-09,17.08,17.08,17.08,17.08,2520000,0.005889281507655886
1950-01-10,17.03,17.03,17.03,17.03,2160000,-0.0029274004683839117
1950-01-11,17.09,17.09,17.09,17.09,2630000,0.0035231943628888374
1950-01-12,16.76,16.76,16.76,16.76,2970000,-0.01930953774136912
1950-01-13,16.67,16.67,16.67,16.67,3330000,-0.005369928400954627
1950-01-16,16.72,16.72,16.72,16.72,1460000,0.0029994001199757925
1950-01-17,16.86,16.86,16.86,16.86,1790000,0.00837320574162681
1950-01-18,16.85,16.85,16.85,16.85,1570000,-0.0005931198102014923
1950-01-19,16.87,16.87,16.87,16.87,1170000,0.001186943620178127
1950-01-20,16.9,16.9,16.9,16.9,1440000,0.0017783046828687699
1950-01-23,16.92,16.92,16.92,16.92,1340000,0.0011834319526629056
1950-01-24,16.86,16.86,16.86,16.86,1250000,-0.0035460992907803135
1950-01-25,16.74,16.74,16.74,16.74,1700000,-0.007117437722420017
1950-01-26,16.73,16.73,16.73,16.73,1150000,-0.0005973715651134137
1950-01-27,16.82,16.82,16.82,16.82,1250000,0.005379557680812885
1950-01-30,17.02,17.02,17.02,17.02,1640000,0.01189060642092743
1950-01-31,17.05,17.05,17.05,17.05,1690000,0.001762632197414904
1950-02-01,17.05,17.05,17.05,17.05,1810000,0.0
1950-02-02,17.23,17.23,17.23,17.23,2040000,0.010557184750733084
1950-02-03,17.29,17.29,17.29,17.29,2210000,0.0034822983168891763
1950-02-06,17.32,17.32,17.32,17.32,1490000,0.001735106998264957
1950-02-07,17.23,17.23,17.23,17.23,1360000,-0.0051963048498845366
1950-02-08,17.21,17.21,17.21,17.21,1470000,-0.0011607661056296514
1950-02-09,17.28,17.28,17.28,17.28,1810000,0.004067402672864651
1950-02-10,17.24,17.24,17.24,17.24,1790000,-0.0023148148148149916
1950-02-14,17.06,17.06,17.06,17.06,2210000,-0.01044083526682138
1950-02-15,17.06,17.06,17.06,17.06,1730000,0.0
1950-02-16,16.99,16.99,16.99,16.99,1920000,-0.004103165298944944
1950-02-17,17.15,17.15,17.15,17.15,1940000,0.009417304296645002
1950-02-20,17.2,17.2,17.2,17.2,1420000,0.00291545189504383
1950-02-21,17.17,17.17,17.17,17.17,1260000,-0.0017441860465114978
1950-02-23,17.21,17.21,17.21,17.21,1310000,0.002329644729178737
1950-02-24,17.28,17.28,17.28,17.28,1710000,0.004067402672864651
1950-02-27,17.28,17.28,17.28,17.28,1410000,0.0
